0,3,8,-4,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
inf,0,inf,1,7,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
inf,2,0,inf,4,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
inf,3,inf,0,inf,5,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
inf,inf,4,inf,0,6,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
inf,inf,inf,5,6,0,7,inf,inf,inf,inf,inf,inf,inf,inf,inf
inf,inf,inf,inf,inf,7,0,8,inf,inf,inf,inf,inf,inf,inf,inf
inf,inf,inf,inf,inf,inf,8,0,9,inf,inf,inf,inf,inf,inf,inf
inf,inf,inf,inf,inf,inf,inf,9,0,10,inf,inf,inf,inf,inf,inf
inf,inf,inf,inf,inf,inf,inf,inf,10,0,11,inf,inf,inf,inf,inf
inf,inf,inf,inf,inf,inf,inf,inf,inf,11,0,12,inf,inf,inf,inf
inf,inf,inf,inf,inf,inf,inf,inf,inf,12,0,13,inf,inf,inf,inf
inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,13,0,14,inf,inf,inf
inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,14,0,inf,inf,inf
inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0,inf,inf
inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0
