0, 2, 61, 73, inf, 12, 79, 32, 62, 19, 85, 20, 13, 13, inf
55, 0, 87, 4, 44, 18, 38, 47, 99, 33, 17, 36, 45, 9, 27
16, 14, 0, 98, 37, 25, 16, 91, inf, 35, 19, 44, 21, 92, 47
93, 49, 28, 0, inf, 4, 55, 19, 19, 75, 70, 99, 63, 8, 8
62, 100, 37, inf, 0, 29, 13, 67, 99, 58, 52, inf, 64, 24, 25
8, 12, 16, 81, inf, 0, 2, 63, inf, 83, 44, inf, 10, 91, 85
67, 5, 42, 7, inf, 23, 0, 63, inf, 36, 89, inf, 38, inf, 22
30, 6, 14, inf, 21, 46, inf, 0, inf, inf, 24, inf, inf, 85, inf
31, 35, 75, 84, 30, 73, 78, 32, 0, 6, 50, 16, inf, 60, 15
99, 22, 38, 74, 27, 99, 98, 5, 7, 0, 49, 93, inf, 93, 86
inf, 6, 79, 38, 50, 97, 81, 89, 83, inf, 0, 9, 6, 35, 98
13, 82, 77, 16, 49, 54, 2, 91, 63, 24, 76, 0, 57, 38, 42
20, 11, 99, 44, 73, 83, 85, 49, 81, 69, 61, 51, 0, inf, 24
60, 85, 38, 74, 54, 42, 20, 8, 29, 38, 42, 32, 46, 0, 68
18, inf, 57, 54, 80, 91, 32, 98, 44, inf, 22, 27, 37, 6, 0
